Wall time,Step,Value
1652579711.8743026,38965,-0.8858932256698608
1652579712.7053564,38967,-0.8889365196228027
1652579713.9531255,38970,-0.8863949179649353
1652579720.9139075,38987,-0.8812878131866455
1652579758.9760432,39076,-0.8758676648139954
1652579791.0131545,39151,-0.8872281908988953
1652579803.0077906,39180,-0.9004429578781128
1652579819.4130898,39217,-0.8871290683746338
1652579839.9454443,39266,-0.883649468421936
1652579916.4704466,39445,-0.8917120695114136
1652579958.6254954,39542,-0.8769057989120483
1652579964.4585066,39556,-0.8932099342346191
1652579988.1790738,39611,-0.8836830854415894
1652579999.8881257,39639,-0.9006309509277344
1652580013.3400276,39670,-0.8815838098526001
1652580040.032111,39732,-0.8907613158226013
1652580072.7200842,39809,-0.884576678276062
1652580101.5394063,39876,-0.8882761001586914
1652580154.4063945,39999,-0.8944212794303894
1652580172.6379683,40042,-0.891467273235321
1652580189.7053285,40081,-0.8939769268035889
1652580217.6551006,40148,-0.8840438723564148
1652580281.5004032,40298,-0.8942326307296753
1652580301.693364,40347,-0.8892969489097595
1652580451.6830726,40698,-0.897336483001709
1652580497.0532916,40804,-0.8843753337860107
1652580504.6584535,40822,-0.887526273727417
1652580514.313511,40843,-0.8938432931900024
1652580539.6008942,40904,-0.8888309001922607
1652580543.334674,40913,-0.8809888362884521
1652580560.9142473,40953,-0.8840916752815247
1652580633.7895894,41127,-0.8807351589202881
1652580635.9856942,41130,-0.8775343894958496
1652580637.2183032,41133,-0.8954269886016846
1652580642.683341,41146,-0.8974801898002625
1652580649.3185213,41162,-0.8892971277236938
1652580658.488244,41184,-0.8866082429885864
1652580686.8516722,41250,-0.8909651041030884
1652580719.6558,41327,-0.8937596082687378
1652580725.8633168,41342,-0.8951164484024048
1652580744.316655,41384,-0.8839752078056335
1652580777.6531494,41457,-0.8904934525489807
1652580788.1298153,41482,-0.8890396356582642
1652580865.538642,41663,-0.8886758685112
1652580928.568145,41810,-0.8822101354598999
1652580963.4259415,41894,-0.8809828162193298
1652580981.9493403,41936,-0.893089771270752
1652580998.8956218,41976,-0.8825912475585938
1652581012.6109402,42006,-0.8954191207885742
1652581047.257966,42089,-0.8868166208267212
1652581074.1759524,42150,-0.8927713632583618
1652581076.2519872,42155,-0.8867918252944946
1652581138.1055458,42299,-0.8915556073188782
1652581158.5799456,42348,-0.8914481401443481
1652581251.927875,42565,-0.896949052810669
1652581354.508585,42800,-0.8989782929420471
1652581354.9402509,42801,-0.8983278870582581
1652581364.756874,42824,-0.8855999708175659
1652581402.780872,42912,-0.8930333256721497
1652581417.3650274,42947,-0.8955276608467102
1652581438.7763393,42997,-0.8905238509178162
1652581553.898465,43267,-0.8934081792831421
1652581569.6779096,43305,-0.8953858613967896
1652581588.388653,43350,-0.8900381326675415
1652581597.9196682,43371,-0.8851985335350037
1652581658.2251546,43512,-0.8934623003005981
1652581760.0688198,43750,-0.8912010192871094
1652581861.4333134,43987,-0.8897616863250732
1652581873.4828851,44016,-0.9034579992294312
1652581909.0957863,44098,-0.9008835554122925
1652581927.2607455,44140,-0.9031537771224976
1652581933.0864317,44154,-0.8965780735015869
1652581985.9879198,44278,-0.8898611068725586
1652582032.5936272,44388,-0.8806837797164917
1652582124.782426,44602,-0.8879023790359497
1652582138.4891348,44633,-0.8986548185348511
1652582147.6364532,44655,-0.8916894197463989
1652582176.3653295,44722,-0.889639139175415
1652582206.6806304,44793,-0.9047924876213074
1652582207.1008568,44794,-0.9046029448509216
1652582217.1367068,44816,-0.891878604888916
1652582236.3727868,44862,-0.8917522430419922
1652582242.6159134,44877,-0.8896926641464233
1652582260.580251,44917,-0.8942779302597046
1652582279.872857,44963,-0.8858753442764282
1652582282.3751302,44969,-0.8996180891990662
1652582323.1432445,45063,-0.8975527286529541
1652582373.3721201,45181,-0.8881702423095703
1652582381.6034846,45201,-0.9019251465797424
1652582407.592203,45260,-0.8871479034423828
1652582418.9147387,45287,-0.9038928747177124
1652582502.4509883,45483,-0.8950027823448181
1652582506.053905,45492,-0.8983359336853027
1652582529.515616,45546,-0.893846869468689
1652582544.9232132,45583,-0.8889329433441162
1652582564.059457,45626,-0.8877999782562256
1652582573.5607567,45649,-0.9016571640968323
1652582621.533195,45762,-0.8850340843200684
1652582634.7466948,45792,-0.9067084789276123
1652582637.1689582,45796,-0.9014751315116882
1652582638.836691,45800,-0.8877957463264465
1652582664.1283517,45861,-0.8971816301345825
1652582664.5364256,45862,-0.8960696458816528
1652582726.7573829,46007,-0.8968060612678528
1652582739.692085,46038,-0.8983307480812073
1652582779.2894564,46131,-0.8958249688148499
1652582827.0093107,46241,-0.9015389084815979
1652582857.7288644,46312,-0.8927890062332153
1652582859.8325243,46317,-0.9067217707633972
1652582872.990434,46345,-0.8993489742279053
1652582883.9918246,46370,-0.9015417695045471
1652582884.816088,46372,-0.9042443037033081
1652582893.9779613,46394,-0.8916796445846558
1652582914.3828957,46443,-0.8857797384262085
1652582920.8742445,46459,-0.9040828347206116
1652582971.2520077,46575,-0.9028975963592529
1652583040.8759058,46731,-0.8895854949951172
1652583067.5487442,46793,-0.903227686882019
1652583087.7999606,46842,-0.9048669338226318
1652583107.8519542,46886,-0.8825353384017944
1652583139.7489262,46961,-0.9009296298027039
1652583144.3469183,46972,-0.8985065817832947
1652583145.5976927,46975,-0.8998498916625977
1652583255.6946352,47236,-0.901538610458374
1652583287.1605544,47308,-0.9065195918083191
1652583302.513047,47343,-0.9000962376594543
1652583336.4487586,47425,-0.8990262746810913
1652583426.8856802,47633,-0.9046566486358643
1652583486.8872461,47772,-0.8932963609695435
1652583491.0243344,47782,-0.8969371318817139
1652583497.6880639,47798,-0.8955703973770142
1652583505.8259711,47818,-0.8950991630554199
1652583513.0598698,47833,-0.9009773135185242
1652583536.7674017,47889,-0.8937005996704102
1652583626.682215,48098,-0.9016444683074951
1652583670.7821226,48201,-0.8976837396621704
